Date,above_20,above_60,above_120,above_200
2024-09-03,38.01923410284818,26.80966270334756,29.281289063887925,33.38798105445177
2024-09-04,39.19309148580861,27.558208894157524,29.857542311473168,33.83737255953323
2024-09-05,40.068181793711446,28.139544148317068,30.190629081351943,33.93217028598131
2024-09-06,40.32558219661121,28.295530525955378,30.1945374889504,33.80418339583556
2024-09-09,40.400633312768434,28.39067817870359,30.127502376807097,33.579961389670395
2024-09-10,40.242611979107785,28.328811208839245,29.949023813292246,33.26958752841132
2024-09-11,39.72502791335179,28.115017006418185,29.58822826392411,32.82756062607737
2024-09-12,39.47053459048394,28.078344730163753,29.37927919488957,32.532325114910414
2024-09-13,39.37262521170541,28.10229045605625,29.165161983576077,32.292690201094565
2024-09-19,39.19842113253378,28.151409341632508,28.97120591063205,32.06315469864885
2024-09-20,39.41602145640403,28.358888720206465,28.864935985021003,31.916400991852644
2024-09-23,39.26420727695967,28.374070138150902,28.616972825261882,31.643135468852787
2024-09-24,39.35529578462628,28.541065735539696,28.460098173169378,31.476139871463992
2024-09-25,39.63868225292243,28.677698497039625,28.343707302262025,31.344567582612214
2024-09-26,40.45847882192197,29.10277819948383,28.333586356965743,31.31926521937149
2024-09-27,41.32033318323821,29.57130168356875,28.392592972217574,31.35285665829808
2024-09-30,41.524895537769765,29.696035350678397,28.27467643864349,31.194316670196102
2024-10-02,41.32524861049198,29.588288110865392,28.075937388093447,30.970135583062604
2024-10-04,41.4190070278254,29.60196535434965,27.892401243694422,30.8673682351231
2024-10-07,41.64382738910447,29.696384534035218,27.82002896395364,30.734200446933205
2024-10-08,41.706911391553696,29.79592327893701,27.76291331088031,30.611191208401113
2024-10-10,41.91672761259257,29.880205397171352,27.715843394380254,30.493215582258948
2024-10-11,43.09314782994362,30.394627690498055,27.901630428417896,30.59790612468682
2024-10-14,44.31012703720286,30.96967358662127,28.097522291596896,30.743053588041644
2024-10-15,45.810535689171374,31.792602061728953,28.455279442845185,31.02480158058652
2024-10-16,47.08854140310038,32.51438017644181,28.807960005290397,31.286345286900325
2024-10-17,48.128914412580656,33.2766259561849,29.135370436804745,31.512471056728756
2024-10-18,49.07335332381191,33.94287317305925,29.45777948823902,31.72854571793226
